norm,player,pick,year
luol deng,Luol Deng,7,2004
rafael araujo,Rafael Araújo,8,2004
andre iguodala,Andre Iguodala,9,2004
luke jackson,Luke Jackson,10,2004
andris biedrins,Andris Biedriņš,11,2004
robert swift,Robert Swift,12,2004
sebastian telfair,Sebastian Telfair,13,2004
kris humphries,Kris Humphries,14,2004
al jefferson,Al Jefferson,15,2004
kirk snyder,Kirk Snyder,16,2004
josh smith,Josh Smith,17,2004
jr smith,J.R. Smith,18,2004
dorell wright,Dorell Wright,19,2004
jameer nelson,Jameer Nelson,20,2004
pavel podkolzin,Pavel Podkolzin,21,2004
viktor khryapa,Viktor Khryapa,22,2004
sergei monia,Sergei Monia,23,2004
delonte west,Delonte West,24,2004
tony allen,Tony Allen,25,2004
kevin martin,Kevin Martin,26,2004
sasha vujacic,Sasha Vujačić,27,2004
beno udrih,Beno Udrih,28,2004
david harrison,David Harrison,29,2004
anderson varejao,Anderson Varejão,30,2004
jackson vroman,Jackson Vroman,31,2004
peter john ramos,Peter John Ramos,32,2004
lionel chalmers,Lionel Chalmers,33,2004
donta smith,Donta Smith,34,2004
andre emmett,Andre Emmett,35,2004
antonio burks,Antonio Burks,36,2004
royal ivey,Royal Ivey,37,2004
chris duhon,Chris Duhon,38,2004
albert miralles,Albert Miralles,39,2004
justin reed,Justin Reed,40,2004
david young,David Young,41,2004
viktor sanikidze,Viktor Sanikidze,42,2004
trevor ariza,Trevor Ariza,43,2004
tim pickett,Tim Pickett,44,2004
bernard robinson,Bernard Robinson,45,2004
ha seungjin,Ha Seung-Jin,46,2004
pape sow,Pape Sow,47,2004
ricky minard,Ricky Minard,48,2004
sergei lishouk,Sergei Lishouk,49,2004
vassilis spanoulis,Vassilis Spanoulis,50,2004
christian drejer,Christian Drejer,51,2004
romain sato,Romain Sato,52,2004
matt freije,Matt Freije,53,2004
rickey paulding,Rickey Paulding,54,2004
luis flores,Luis Flores,55,2004
marcus douthit,Marcus Douthit,56,2004
sergei karaulov,Sergei Karaulov,57,2004
blake stepp,Blake Stepp,58,2004
rashad wright,Rashad Wright,59,2004
andrew bogut,Andrew Bogut,1,2005
marvin williams,Marvin Williams,2,2005
deron williams,Deron Williams,3,2005
chris paul,Chris Paul,4,2005
raymond felton,Raymond Felton,5,2005
martell webster,Martell Webster,6,2005
charlie villanueva,Charlie Villanueva,7,2005
channing frye,Channing Frye,8,2005
ike diogu,Ike Diogu,9,2005
andrew bynum,Andrew Bynum,10,2005
fran vazquez,Fran Vázquez,11,2005
yaroslav korolev,Yaroslav Korolev,12,2005
sean may,Sean May,13,2005
rashad mccants,Rashad McCants,14,2005
antoine wright,Antoine Wright,15,2005
joey graham,Joey Graham,16,2005
danny granger,Danny Granger,17,2005
gerald green,Gerald Green,18,2005
hakim warrick,Hakim Warrick,19,2005
julius hodge,Julius Hodge,20,2005
nate robinson,Nate Robinson,21,2005
jarrett jack,Jarrett Jack,22,2005
francisco garcia,Francisco García,23,2005
luther head,Luther Head,24,2005
johan petro,Johan Petro,25,2005
jason maxiell,Jason Maxiell,26,2005
linas kleiza,Linas Kleiza,27,2005
ian mahinmi,Ian Mahinmi,28,2005
wayne simien,Wayne Simien,29,2005
david lee,David Lee,30,2005
salim stoudamire,Salim Stoudamire,31,2005
daniel ewing,Daniel Ewing,32,2005
brandon bass,Brandon Bass,33,2005
cj miles,C.J. Miles,34,2005
ricky sanchez,Ricky Sánchez,35,2005
ersan ilyasova,Ersan İlyasova,36,2005
ronny turiaf,Ronny Turiaf,37,2005
travis diener,Travis Diener,38,2005
von wafer,Von Wafer,39,2005
monta ellis,Monta Ellis,40,2005
roko ukic,Roko Ukić,41,2005
chris taft,Chris Taft,42,2005
mile ilic,Mile Ilić,43,2005
martynas andriuskevicius,Martynas Andriuškevičius,44,2005
lou williams,Lou Williams,45,2005
erazem lorbek,Erazem Lorbek,46,2005
bracey wright,Bracey Wright,47,2005
mickael gelabale,Mickaël Gelabale,48,2005
andray blatche,Andray Blatche,49,2005
ryan gomes,Ryan Gomes,50,2005
robert whaley,Robert Whaley,51,2005
axel hervelle,Axel Hervelle,52,2005
orien greene,Orien Greene,53,2005
dijon thompson,Dijon Thompson,54,2005
lawrence roberts,Lawrence Roberts,55,2005
amir johnson,Amir Johnson,56,2005
marcin gortat,Marcin Gortat,57,2005
uros slokar,Uroš Slokar,58,2005
cenk akyol,Cenk Akyol,59,2005
alex acker,Alex Acker,60,2005
andrea bargnani,Andrea Bargnani,1,2006
lamarcus aldridge,LaMarcus Aldridge,2,2006
adam morrison,Adam Morrison,3,2006
tyrus thomas,Tyrus Thomas,4,2006
shelden williams,Shelden Williams,5,2006
brandon roy,Brandon Roy,6,2006
randy foye,Randy Foye,7,2006
rudy gay,Rudy Gay,8,2006
patrick obryant,Patrick O'Bryant,9,2006
mouhamed sene,Mouhamed Sene,10,2006
jj redick,JJ Redick,11,2006
hilton armstrong,Hilton Armstrong,12,2006
thabo sefolosha,Thabo Sefolosha,13,2006
ronnie brewer,Ronnie Brewer,14,2006
cedric simmons,Cedric Simmons,15,2006
rodney carney,Rodney Carney,16,2006
shawne williams,Shawne Williams,17,2006
oleksiy pecherov,Oleksiy Pecherov,18,2006
quincy douby,Quincy Douby,19,2006
renaldo balkman,Renaldo Balkman,20,2006
rajon rondo,Rajon Rondo,21,2006
marcus williams,Marcus Williams,22,2006
josh boone,Josh Boone,23,2006
kyle lowry,Kyle Lowry,24,2006
shannon brown,Shannon Brown,25,2006
jordan farmar,Jordan Farmar,26,2006
sergio rodriguez,Sergio Rodríguez,27,2006
maurice ager,Maurice Ager,28,2006
mardy collins,Mardy Collins,29,2006
joel freeland,Joel Freeland,30,2006
james white,James White,31,2006
steve novak,Steve Novak,32,2006
solomon jones,Solomon Jones,33,2006
paul davis,Paul Davis,34,2006
pj tucker,P.J. Tucker,35,2006
craig smith,Craig Smith,36,2006
bobby jones,Bobby Jones,37,2006
kosta perovic,Kosta Perović,38,2006
david noel,David Noel,39,2006
denham brown,Denham Brown,40,2006
james augustine,James Augustine,41,2006
daniel gibson,Daniel Gibson,42,2006
marcus vinicius,Marcus Vinicius,43,2006
lior eliyahu,Lior Eliyahu,44,2006
alexander johnson,Alexander Johnson,45,2006
dee brown,Dee Brown,46,2006
paul millsap,Paul Millsap,47,2006
vladimir veremeenko,Vladimir Veremeenko,48,2006
leon powe,Leon Powe,49,2006
ryan hollins,Ryan Hollins,50,2006
cheikh samb,Cheikh Samb,51,2006
guillermo diaz,Guillermo Díaz,52,2006
yotam halperin,Yotam Halperin,53,2006
hassan adams,Hassan Adams,54,2006
ejike ugboaja,Ejike Ugboaja,55,2006
edin bavcic,Edin Bavčić,56,2006
loukas mavrokefalidis,Loukas Mavrokefalidis,57,2006
jr pinnock,J.R. Pinnock,58,2006
