norm,player,pick,year
ausar thompson,Ausar Thompson,5,2023
anthony black,Anthony Black,6,2023
bilal coulibaly,Bilal Coulibaly,7,2023
jarace walker,Jarace Walker,8,2023
taylor hendricks,Taylor Hendricks,9,2023
cason wallace,Cason Wallace,10,2023
jett howard,Jett Howard,11,2023
dereck lively,Dereck Lively II,12,2023
gradey dick,Gradey Dick,13,2023
jordan hawkins,Jordan Hawkins,14,2023
kobe bufkin,Kobe Bufkin,15,2023
keyonte george,Keyonte George,16,2023
jalen hoodschifino,Jalen Hood-Schifino,17,2023
jaime jaquez,Jaime Jaquez Jr.,18,2023
brandin podziemski,Brandin Podziemski,19,2023
cam whitmore,Cam Whitmore,20,2023
noah clowney,Noah Clowney,21,2023
dariq whitehead,Dariq Whitehead,22,2023
kris murray,Kris Murray,23,2023
oliviermaxence prosper,Olivier-Maxence Prosper,24,2023
marcus sasser,Marcus Sasser,25,2023
ben sheppard,Ben Sheppard,26,2023
nick smith,Nick Smith Jr.,27,2023
brice sensabaugh,Brice Sensabaugh,28,2023
julian strawther,Julian Strawther,29,2023
kobe brown,Kobe Brown,30,2023
james nnaji,James Nnaji,31,2023
jalen pickett,Jalen Pickett,32,2023
leonard miller,Leonard Miller,33,2023
colby jones,Colby Jones,34,2023
julian phillips,Julian Phillips,35,2023
andre jackson,Andre Jackson Jr.,36,2023
hunter tyson,Hunter Tyson,37,2023
jordan walsh,Jordan Walsh,38,2023
mouhamed gueye,Mouhamed Gueye,39,2023
maxwell lewis,Maxwell Lewis,40,2023
amari bailey,Amari Bailey,41,2023
tristan vukcevic,Tristan Vukcevic,42,2023
rayan rupert,Rayan Rupert,43,2023
sidy cissoko,Sidy Cissoko,44,2023
gg jackson,GG Jackson II,45,2023
seth lundy,Seth Lundy,46,2023
mojave king,Mojave King,47,2023
jordan miller,Jordan Miller,48,2023
emoni bates,Emoni Bates,49,2023
keyontae johnson,Keyontae Johnson,50,2023
jalen wilson,Jalen Wilson,51,2023
toumani camara,Toumani Camara,52,2023
jaylen clark,Jaylen Clark,53,2023
jalen slawson,Jalen Slawson,54,2023
isaiah wong,Isaiah Wong,55,2023
tarik biberovic,Tarik Biberovic,56,2023
trayce jacksondavis,Trayce Jackson-Davis,57,2023
chris livingston,Chris Livingston,58,2023
zaccharie risacher,Zaccharie Risacher,1,2024
alex sarr,Alex Sarr,2,2024
reed sheppard,Reed Sheppard,3,2024
stephon castle,Stephon Castle,4,2024
ron holland,Ron Holland,5,2024
tidjane salaun,Tidjane Salaün,6,2024
donovan clingan,Donovan Clingan,7,2024
rob dillingham,Rob Dillingham,8,2024
zach edey,Zach Edey,9,2024
cody williams,Cody Williams,10,2024
matas buzelis,Matas Buzelis,11,2024
nikola topic,Nikola Topić,12,2024
devin carter,Devin Carter,13,2024
bub carrington,Bub Carrington,14,2024
kelel ware,Kel'el Ware,15,2024
jared mccain,Jared McCain,16,2024
dalton knecht,Dalton Knecht,17,2024
tristan da silva,Tristan Da Silva,18,2024
jakobe walter,Ja'Kobe Walter,19,2024
jaylon tyson,Jaylon Tyson,20,2024
yves missi,Yves Missi,21,2024
daron holmes,DaRon Holmes,22,2024
aj johnson,AJ Johnson,23,2024
kyshawn george,Kyshawn George,24,2024
pacome dadiet,Pacôme Dadiet,25,2024
dillon jones,Dillon Jones,26,2024
terrence shannon,Terrence Shannon Jr.,27,2024
ryan dunn,Ryan Dunn,28,2024
isaiah collier,Isaiah Collier,29,2024
baylor scheierman,Baylor Scheierman,30,2024
jonathan mogbo,Jonathan Mogbo,31,2024
kyle filipowski,Kyle Filipowski,32,2024
tyler smith,Tyler Smith,33,2024
tyler kolek,Tyler Kolek,34,2024
johnny furphy,Johnny Furphy,35,2024
juan nunez,Juan Nunez,36,2024
bobi klintman,Bobi Klintman,37,2024
ajay mitchell,Ajay Mitchell,38,2024
jaylen wells,Jaylen Wells,39,2024
oso ighodaro,Oso Ighodaro,40,2024
adem bona,Adem Bona,41,2024
kj simpson,KJ Simpson,42,2024
nikola djurisic,Nikola Djurisic,43,2024
pelle larsson,Pelle Larsson,44,2024
jamal shead,Jamal Shead,45,2024
cam christie,Cam Christie,46,2024
antonio reeves,Antonio Reeves,47,2024
harrison ingram,Harrison Ingram,48,2024
tristen newton,Tristen Newton,49,2024
enrique freeman,Enrique Freeman,50,2024
melvin ajinca,Melvin Ajinça,51,2024
quinten post,Quinten Post,52,2024
cam spencer,Cam Spencer,53,2024
anton watson,Anton Watson,54,2024
bronny james,Bronny James,55,2024
kevin mccullar,Kevin McCullar Jr.,56,2024
ulrich chomche,Ulrich Chomche,57,2024
ariel hukporti,Ariel Hukporti,58,2024
cooper flagg,Cooper Flagg,1,2025
dylan harper,Dylan Harper,2,2025
vj edgecombe,VJ Edgecombe,3,2025
kon knueppel,Kon Knueppel,4,2025
ace bailey,Ace Bailey,5,2025
tre johnson,Tre Johnson,6,2025
jeremiah fears,Jeremiah Fears,7,2025
egor dmin,Egor Dёmin,8,2025
collin murrayboyles,Collin Murray-Boyles,9,2025
khaman maluach,Khaman Maluach,10,2025
cedric coward,Cedric Coward,11,2025
noa essengue,Noa Essengue,12,2025
derik queen,Derik Queen,13,2025
carter bryant,Carter Bryant,14,2025
thomas sorber,Thomas Sorber,15,2025
yang hansen,Yang Hansen,16,2025
joan beringer,Joan Beringer,17,2025
walter clayton,Walter Clayton,18,2025
nolan traore,Nolan Traoré,19,2025
kasparas jakucionis,Kasparas Jakučionis,20,2025
will riley,Will Riley,21,2025
drake powell,Drake Powell,22,2025
asa newell,Asa Newell,23,2025
nique clifford,Nique Clifford,24,2025
jase richardson,Jase Richardson,25,2025
ben saraf,Ben Saraf,26,2025
danny wolf,Danny Wolf,27,2025
hugo gonzalez,Hugo González,28,2025
liam mcneeley,Liam McNeeley,29,2025
yanic konan niederhauser,Yanic Konan Niederhäuser,30,2025
rasheer fleming,Rasheer Fleming,31,2025
noah penda,Noah Penda,32,2025
sion james,Sion James,33,2025
ryan kalkbrenner,Ryan Kalkbrenner,34,2025
johni broome,Johni Broome,35,2025
adou thiero,Adou Thiero,36,2025
chaz lanier,Chaz Lanier,37,2025
kam jones,Kam Jones,38,2025
alijah martin,Alijah Martin,39,2025
micah peavy,Micah Peavy,40,2025
koby brea,Koby Brea,41,2025
maxime raynaud,Maxime Raynaud,42,2025
jamir watkins,Jamir Watkins,43,2025
brooks barnhizer,Brooks Barnhizer,44,2025
rocco zikarsky,Rocco Zikarsky,45,2025
amari williams,Amari Williams,46,2025
bogoljub markovic,Bogoljub Markovic,47,2025
javon small,Javon Small,48,2025
tyrese proctor,Tyrese Proctor,49,2025
kobe sanders,Kobe Sanders,50,2025
mohamed diawara,Mohamed Diawara,51,2025
alex toohey,Alex Toohey,52,2025
john tonje,John Tonje,53,2025
taelon peter,Taelon Peter,54,2025
lachlan olbrich,Lachlan Olbrich,55,2025
will richard,Will Richard,56,2025
max shulga,Max Shulga,57,2025
saliou niang,Saliou Niang,58,2025
jahmai mashack,Jahmai Mashack,59,2025
