RK,NAME,TEAM,SALARY,PLAYER,SALARY_NUM
397,"Jalen Wilson, F",Brooklyn Nets,"$2,221,677",Jalen Wilson,2221677
398,"Hunter Tyson, F",Denver Nuggets,"$2,221,677",Hunter Tyson,2221677
399,"Julian Phillips, F",Minnesota Timberwolves,"$2,221,677",Julian Phillips,2221677
400,"Andre Jackson Jr., G",Milwaukee Bucks,"$2,221,677",Andre Jackson Jr.,2221677
401,"Gui Santos, F",Golden State Warriors,"$2,221,677",Gui Santos,2221677
402,"Colby Jones, G",Detroit Pistons,"$2,221,677",Colby Jones,2221677
403,"Jalen Pickett, G",Denver Nuggets,"$2,221,677",Jalen Pickett,2221677
404,"Craig Porter Jr., G",Cleveland Cavaliers,"$2,221,677",Craig Porter Jr.,2221677
405,"Leonard Miller, F",Chicago Bulls,"$2,221,677",Leonard Miller,2221677
406,"Jordan Walsh, G",Boston Celtics,"$2,221,677",Jordan Walsh,2221677
407,"Mouhamed Gueye, F",Atlanta Hawks,"$2,221,677",Mouhamed Gueye,2221677
408,"Duop Reath, C",Portland Trail Blazers,"$2,221,677",Duop Reath,2221677
409,"Colin Castleton, C",Orlando Magic,"$2,191,897",Colin Castleton,2191897
410,"Tyler Kolek, G",New York Knicks,"$2,191,897",Tyler Kolek,2191897
411,"Jaylen Clark, G",Minnesota Timberwolves,"$2,191,897",Jaylen Clark,2191897
412,"Precious Achiuwa, PF",Sacramento Kings,"$2,111,516",Precious Achiuwa,2111516
413,"Justin Edwards, F",Philadelphia 76ers,"$2,048,494",Justin Edwards,2048494
414,"N'Faly Dante, C",Atlanta Hawks,"$2,048,494",N'Faly Dante,2048494
415,"Antonio Reeves, G",Charlotte Hornets,"$1,955,377",Antonio Reeves,1955377
416,"Jaylen Wells, F",Memphis Grizzlies,"$1,955,377",Jaylen Wells,1955377
417,"Jonathan Mogbo, F",Toronto Raptors,"$1,955,377",Jonathan Mogbo,1955377
418,"Jamal Shead, G",Toronto Raptors,"$1,955,377",Jamal Shead,1955377
419,"Jamison Battle, F",Toronto Raptors,"$1,955,377",Jamison Battle,1955377
420,"Oso Ighodaro, F",Phoenix Suns,"$1,955,377",Oso Ighodaro,1955377
421,"Adem Bona, C",Philadelphia 76ers,"$1,955,377",Adem Bona,1955377
422,"Ariel Hukporti, C",New York Knicks,"$1,955,377",Ariel Hukporti,1955377
423,"Pelle Larsson, G",Miami Heat,"$1,955,377",Pelle Larsson,1955377
424,"Keshad Johnson, F",Miami Heat,"$1,955,377",Keshad Johnson,1955377
425,"Bronny James, G",Los Angeles Lakers,"$1,955,377",Bronny James,1955377
426,"Drew Timme, F",Los Angeles Lakers,"$1,955,377",Drew Timme,1955377
427,"Cam Christie, G",LA Clippers,"$1,955,377",Cam Christie,1955377
428,"Johnny Furphy, G",Indiana Pacers,"$1,955,377",Johnny Furphy,1955377
429,"Isaac Jones, C",Detroit Pistons,"$1,955,377",Isaac Jones,1955377
430,"Bobi Klintman, F",Detroit Pistons,"$1,955,377",Bobi Klintman,1955377
431,"Tyler Smith, F",Dallas Mavericks,"$1,955,377",Tyler Smith,1955377
432,"Karlo Matkovic, F",New Orleans Pelicans,"$1,955,377",Karlo Matkovic,1955377
433,"Quinten Post, C",Golden State Warriors,"$1,935,377",Quinten Post,1935377
434,"Seth Curry, G",Golden State Warriors,"$1,755,198",Seth Curry,1755198
435,"Micah Potter, C",Indiana Pacers,"$1,527,805",Micah Potter,1527805
436,"Chaz Lanier, G",Detroit Pistons,"$1,372,870",Chaz Lanier,1372870
437,"Pat Connaughton, G",Charlotte Hornets,"$1,315,814",Pat Connaughton,1315814
438,"Micah Peavy, G",New Orleans Pelicans,"$1,272,970",Micah Peavy,1272970
439,"Maxime Raynaud, C",Sacramento Kings,"$1,272,870",Maxime Raynaud,1272870
440,"Rasheer Fleming, F",Phoenix Suns,"$1,272,870",Rasheer Fleming,1272870
441,"Johni Broome, F",Philadelphia 76ers,"$1,272,870",Johni Broome,1272870
442,"Noah Penda, F",Orlando Magic,"$1,272,870",Noah Penda,1272870
443,"Mohamed Diawara, F",New York Knicks,"$1,272,870",Mohamed Diawara,1272870
444,"Adou Thiero, F",Los Angeles Lakers,"$1,272,870",Adou Thiero,1272870
445,"Will Richard, G",Golden State Warriors,"$1,272,870",Will Richard,1272870
446,"Tyrese Proctor, G",Cleveland Cavaliers,"$1,272,870",Tyrese Proctor,1272870
447,"Kam Jones, G",Indiana Pacers,"$1,272,870",Kam Jones,1272870
448,"Nikola Durisic, F",Atlanta Hawks,"$1,272,870",Nikola Durisic,1272870
449,"Jamir Watkins, G",Washington Wizards,"$1,131,970",Jamir Watkins,1131970
450,"Taj Gibson, F",Memphis Grizzlies,"$960,753",Taj Gibson,960753
451,"Dylan Cardwell, C",Sacramento Kings,"$871,000",Dylan Cardwell,871000
452,"Jevon Carter, G",Orlando Magic,"$871,000",Jevon Carter,871000
453,"Pat Spencer, G",Golden State Warriors,"$857,804",Pat Spencer,857804
454,"Cam Thomas, G",Milwaukee Bucks,"$844,607",Cam Thomas,844607
455,"Kobe Bufkin, G",Los Angeles Lakers,"$831,410",Kobe Bufkin,831410
456,"Haywood Highsmith, F",Phoenix Suns,"$827,984",Haywood Highsmith,827984
457,"Jeremy Sochan, F",New York Knicks,"$778,622",Jeremy Sochan,778622
458,"Mike Conley, G",Minnesota Timberwolves,"$725,834",Mike Conley,725834
459,"Jabari Walker, F",Philadelphia 76ers,"$724,598",Jabari Walker,724598
460,"Bryce McGowens, G",New Orleans Pelicans,"$724,598",Bryce McGowens,724598
461,"Nae'Qwan Tomlin, F",Cleveland Cavaliers,"$718,150",Nae'Qwan Tomlin,718150
462,"Cameron Payne, PG",Philadelphia 76ers,"$712,637",Cameron Payne,712637
463,"Jordan Miller, G",LA Clippers,"$712,637",Jordan Miller,712637
464,"Caleb Houstan, G",Atlanta Hawks,"$699,440",Caleb Houstan,699440
465,"Sidy Cissoko, G",Portland Trail Blazers,"$688,243",Sidy Cissoko,688243
466,"Spencer Jones, F",Denver Nuggets,"$623,967",Spencer Jones,623967
467,"Quenton Jackson, G",Indiana Pacers,"$601,553",Quenton Jackson,601553
468,"Mason Plumlee, C",San Antonio Spurs,"$593,864",Mason Plumlee,593864
469,"Jamaree Bouyea, G",Phoenix Suns,"$574,210",Jamaree Bouyea,574210
470,"Kyle Anderson, F",Minnesota Timberwolves,"$567,470",Kyle Anderson,567470
471,"Olivier-Maxence Prosper, F",Memphis Grizzlies,"$527,879",Olivier-Maxence Prosper,527879
472,"Tyus Jones, G",Denver Nuggets,"$514,682",Tyus Jones,514682
473,"Amari Williams, F",Boston Celtics,"$490,128",Amari Williams,490128
474,"Myron Gardner, F",Miami Heat,"$395,029",Myron Gardner,395029
475,"Ryan Nembhard, G",Dallas Mavericks,"$321,875",Ryan Nembhard,321875
