Player,Team,Age,Pos,OFF_EPM,DEF_EPM,EPM
Zion Williamson,NOP,25,F,0.688546,-0.0362687,0.6523
Ryan Rollins,MIL,23,G,0.896512,-0.252529,0.644
Brandin Podziemski,GSW,23,G,-0.228931,0.864416,0.6355
Javonte Green,DET,32,G,-1.233,1.83286,0.5999
Robert Williams III,POR,28,C-F,-0.258776,0.855436,0.5967
Derrick Jones Jr.,LAC,29,F,-0.658789,1.18126,0.5225
Jabari Smith Jr.,HOU,23,F,0.308937,0.198423,0.5074
Naji Marshall,DAL,28,F,0.20616,0.291786,0.4979
Davion Mitchell,MIA,27,G,0.319257,0.1687,0.488
Kevin Porter Jr.,MIL,26,G-F,-0.0694279,0.544245,0.4748
Duncan Robinson,DET,32,F,1.03944,-0.57759,0.4618
Jaylin Williams,OKC,23,F,-1.37293,1.82337,0.4504
Brook Lopez,LAC,38,C,-0.310286,0.752922,0.4426
Herbert Jones,NOP,27,F,-0.691249,1.12802,0.4368
Dereck Lively II,DAL,22,C,-0.439345,0.860994,0.4216
Walker Kessler,UTA,24,C,-0.274639,0.654413,0.3798
Pelle Larsson,MIA,25,G,0.172926,0.150135,0.3231
Peyton Watson,DEN,23,G,0.208235,0.114761,0.323
Toumani Camara,POR,26,F,-0.786018,1.10405,0.318
Al Horford,GSW,40,C-F,0.239164,0.0517493,0.2909
Oso Ighodaro,PHX,23,F,-0.746629,1.03394,0.2873
Moritz Wagner,ORL,29,F-C,0.0113709,0.192559,0.2039
Goga Bitadze,ORL,26,C-F,-0.56627,0.729379,0.1631
Jalen Green,PHX,24,G,0.681438,-0.527585,0.1539
Onyeka Okongwu,ATL,25,F-C,-0.0041574,0.153554,0.1494
Josh Giddey,CHI,23,G,0.931275,-0.800119,0.1312
Nic Claxton,BKN,27,C,-0.108492,0.239588,0.1311
Kel'el Ware,MIA,22,C,0.256069,-0.139278,0.1168
Ron Harper Jr.,BOS,26,G-F,0.12852,-0.0123831,0.1161
T.J. McConnell,IND,34,G,0.337654,-0.232208,0.1054
Simone Fontecchio,MIA,30,F,0.451149,-0.349601,0.1015
Baylor Scheierman,BOS,25,G,-0.58334,0.682122,0.0988
Aaron Nesmith,IND,26,G-F,0.285609,-0.193604,0.092
Kevin Huerter,DET,27,G-F,-0.129502,0.201121,0.0716
Jusuf Nurkic,UTA,31,C,-1.08603,1.15692,0.0709
Dean Wade,CLE,29,F-C,-0.972964,1.0437,0.0707
Daniel Gafford,DAL,27,F-C,0.397367,-0.3349,0.0625
Sam Merrill,CLE,30,G,1.05353,-0.99879,0.0547
Quinten Post,GSW,26,C,-0.144744,0.185226,0.0405
Christian Braun,DEN,25,G,-0.452834,0.486446,0.0336
Steven Adams,HOU,32,C,-0.95327,0.9762,0.0229
Naz Reid,MIN,26,C-F,-0.753297,0.762623,0.0093
Brandon Clarke,MEM,29,F,-0.504717,0.49429,-0.0104
Daniss Jenkins,DET,24,G,-0.636115,0.587639,-0.0485
Jamal Shead,TOR,23,G,-1.31473,1.26442,-0.0503
Cam Spencer,MEM,26,G,1.17206,-1.23282,-0.0608
Miles Bridges,CHA,28,F,0.44812,-0.535468,-0.0873
Cameron Payne,PHI,31,G,-0.536297,0.446704,-0.0896
Chris Boucher,BOS,33,F,0.110558,-0.209668,-0.0991
Josh Minott,BKN,23,F,-0.614579,0.508823,-0.1058
Javon Small,MEM,23,G,0.437478,-0.563064,-0.1256
Kris Dunn,LAC,32,G,-1.53053,1.3864,-0.1441
Luke Kornet,SAS,30,C-F,-0.0886495,-0.0565254,-0.1452
Kyle Filipowski,UTA,22,C,1.13478,-1.3553,-0.2205
Jaylen Wells,MEM,22,F,0.511547,-0.774864,-0.2633
Justin Champagnie,WAS,24,G-F,0.358306,-0.637051,-0.2787
Reed Sheppard,HOU,21,G,0.0431478,-0.335797,-0.2926
Lonzo Ball,CLE,28,G,-1.59719,1.29632,-0.3009
Svi Mykhailiuk,UTA,29,G-F,0.206149,-0.516144,-0.31
Elijah Harkless,UTA,26,G,-0.78821,0.463284,-0.3249
Myron Gardner,MIA,25,F,-0.563624,0.228628,-0.335
Santi Aldama,MEM,25,F-C,-0.0270133,-0.323675,-0.3507
Nikola Vucevic,BOS,35,C,0.191302,-0.55106,-0.3598
Jordan Walsh,BOS,22,G,-1.14353,0.780691,-0.3628
Keegan Murray,SAC,25,F,-0.759097,0.390685,-0.3684
Matisse Thybulle,POR,29,G-F,-2.85327,2.43811,-0.4152
Bones Hyland,MIN,25,G,-0.137545,-0.278868,-0.4164
Devin Carter,SAC,24,G,-0.0495493,-0.385007,-0.4346
Grant Williams,CHA,27,F,-0.456488,0.0120826,-0.4444
Matas Buzelis,CHI,21,F,-0.00390614,-0.468338,-0.4722
Marcus Sasser,DET,25,G,-0.495101,0.00331785,-0.4918
D'Angelo Russell,WAS,30,G,0.353507,-0.846398,-0.4929
Vince Williams Jr.,UTA,25,G,-0.82763,0.327726,-0.4999
Anfernee Simons,CHI,27,G,0.958951,-1.46879,-0.5098
DeMar DeRozan,SAC,36,G-F,1.67291,-2.18743,-0.5145
Jonathan Kuminga,ATL,23,F,-1.37382,0.849474,-0.5243
Ja'Kobe Walter,TOR,21,G,-1.42274,0.873985,-0.5488
Mike Conley,MIN,38,G,-0.565005,-0.0044291,-0.5694
Jonas Valanciunas,DEN,34,C,1.18502,-1.76134,-0.5763
Mark Williams,PHX,24,C,-0.598037,0.0188553,-0.5792
Mouhamed Gueye,ATL,23,F,-1.681,1.09911,-0.5819
Ronald Holland II,DET,20,F,-2.6174,2.02746,-0.5899
Leonard Miller,CHI,22,F,0.129227,-0.727578,-0.5984
AJ Green,MIL,26,G,0.559758,-1.19095,-0.6312
P.J. Washington,DAL,27,F,-1.47691,0.821833,-0.6551
Jaylon Tyson,CLE,23,G-F,-0.149754,-0.505616,-0.6554
Olivier-Maxence Prosper,MEM,23,F,0.0499277,-0.715604,-0.6657
Jamir Watkins,WAS,24,F,-1.28767,0.605535,-0.6821
Dru Smith,MIA,28,G,-2.2194,1.51605,-0.7034
